"pli-tv-bu-vb-sk37","37. Requesting rice and bean curry"
"pli-tv-bu-vb-sk38","38. Finding fault"
"pli-tv-bu-vb-sk39","39. Making an overlarge mouthful"
"pli-tv-bu-vb-sk40","40. Not making rounded mouthfuls"
"pli-tv-bu-vb-sk41","41. Opening the mouth"
"pli-tv-bu-vb-sk42","42. Putting whole hand in mouth"
"pli-tv-bu-vb-sk43","43. Speaking with food in mouth"
"pli-tv-bu-vb-sk44","44. Eating from lifted mouthfuls"
"pli-tv-bu-vb-sk45","45. Breaking up mouthfuls"
"pli-tv-bu-vb-sk46","46. Stuffing the cheeks"
"pli-tv-bu-vb-sk47","47. Shaking the hand"
"pli-tv-bu-vb-sk48","48. Scattering rice"
"pli-tv-bu-vb-sk49","49. Sticking out the tongue"
"pli-tv-bu-vb-sk50","50. Chomping"
"pli-tv-bu-vb-sk51","51. Slurping"
"pli-tv-bu-vb-sk52","52. Licking the hand"
"pli-tv-bu-vb-sk53","53. Licking the almsbowl"
"pli-tv-bu-vb-sk54","54. Licking the lips"
"pli-tv-bu-vb-sk55","55. Receiving with soiled hand"
"pli-tv-bu-vb-sk56","56. Discarding waste water with rice"
"pli-tv-bu-vb-sk57","57. Holding a sunshade"
"pli-tv-bu-vb-sk58","58. Holding a staff"
"pli-tv-bu-vb-sk59","59. Holding a knife"
"pli-tv-bu-vb-sk60","60. Holding a weapon"
"pli-tv-bu-vb-sk61","61. Wearing shoes"
"pli-tv-bu-vb-sk62","62. Wearing sandals"
"pli-tv-bu-vb-sk63","63. Sitting in a vehicle"
"pli-tv-bu-vb-sk64","64. Lying down"
"pli-tv-bu-vb-sk65","65. Clasping the knees"
"pli-tv-bu-vb-sk66","66. Wearing a headdress"
"pli-tv-bu-vb-sk67","67. Covering the head"
"pli-tv-bu-vb-sk68","68. Sitting on the ground"
"pli-tv-bu-vb-sk69","69. Sitting on a low seat"
"pli-tv-bu-vb-sk70","70. Standing"
"pli-tv-bu-vb-sk71","71. Walking behind"
"pli-tv-bu-vb-sk72","72. Walking next to the path"
"pli-tv-bu-vb-sk73","73. Defecating while standing"
"pli-tv-bu-vb-sk74","74. Defecating on cultivated plants"
"pli-tv-bu-vb-sk75","75. Defecating in water"
"pli-tv-bu-vb-as1-7","The settling of legal issues"
"pli-tv-kd1","The great chapter"
"pli-tv-kd2","The chapter on the observance day"
"pli-tv-kd3","The chapter on entering the rainy-season residence"
"pli-tv-kd4","The chapter on the invitation ceremony"
"pli-tv-kd5","The chapter on skins"
"pli-tv-kd6","The chapter on medicines"
"pli-tv-kd7","The chapter on the robe-making ceremony"
"pli-tv-kd8","The chapter on robes"
"pli-tv-kd9","The chapter on legal procedures"
"pli-tv-kd10","The chapter on division in the Sangha"
"pli-tv-kd11","The chapter on penalty procedures"
"pli-tv-kd12","The chapter on the proper conduct for those who have committed an offense entailing suspension"
"pli-tv-kd13","The chapter on legal procedures in relation to offenses entailing suspension"
"pli-tv-kd14","The chapter on the settling of legal issues"
"pli-tv-kd15","The chapter on minor topics"
"pli-tv-kd16","The chapter on resting places"
"pli-tv-kd17","The chapter on schism in the Sangha"
"pli-tv-kd18","The chapter on proper conduct"
"pli-tv-kd19","The chapter on the cancellation of the Monastic Code"
"pli-tv-kd20","The chapter on nuns"
"pli-tv-kd21","The chapter on the first council"
"pli-tv-kd22","The chapter on the second council"
"pli-tv-pvr1.1","Questions and answers on the monks’ Monastic Code and its analysis"
"pli-tv-pvr1.2","The number of offenses within each rule"
"pli-tv-pvr1.3","The classes of failure to which each rule belongs"
"pli-tv-pvr1.4","The classes of offenses to which each rule belongs"
"pli-tv-pvr1.5","The number of originations of each offense"
"pli-tv-pvr1.6","The legal issues to which each offense belongs"
"pli-tv-pvr1.7","How each offense is settled"
"pli-tv-pvr1.8","Summary of the previous six sections"
"pli-tv-pvr1.9","Questions and answers on the monks’ Monastic Code and its analysis"
"pli-tv-pvr1.10","The number of offenses within each rule"
"pli-tv-pvr1.11","The classes of failure to which each rule belongs"
"pli-tv-pvr1.12","The classes of offenses to which each rule belongs"
"pli-tv-pvr1.13","The number of originations of each offense"
"pli-tv-pvr1.14","The legal issues to which each offense belongs"
"pli-tv-pvr1.15","How each offense is settled"
"pli-tv-pvr1.16","Summary of the previous six sections"
"pli-tv-pvr2.1","Questions and answers on the nuns’ Monastic Code and its analysis"
"pli-tv-pvr2.2","The number of offenses within each rule"
"pli-tv-pvr2.3","The classes of failure to which each rule belongs"
"pli-tv-pvr2.4","The classes of offenses to which each rule belongs"
"pli-tv-pvr2.5","The number of originations of each offense"
"pli-tv-pvr2.6","The legal issues to which each offense belongs"
"pli-tv-pvr2.7","How each offense is settled"
"pli-tv-pvr2.8","Summary of the previous six sections"
"pli-tv-pvr2.9","Questions and answers on the nuns’ Monastic Code and its analysis"
"pli-tv-pvr2.10","The number of offenses within each rule"
"pli-tv-pvr2.11","The classes of failure to which each rule belongs"
"pli-tv-pvr2.12","The classes of offenses to which each rule belongs"
"pli-tv-pvr2.13","The number of originations of each offense"
"pli-tv-pvr2.14","The legal issues to which each offense belongs"
"pli-tv-pvr2.15","How each offense is settled"
"pli-tv-pvr2.16","Summary of the previous six sections"
"pli-tv-pvr3","The thirteen groups of originations of offenses"
"pli-tv-pvr4","Various topics with a focus on the origination of offenses"
"pli-tv-pvr5","The legal issues and their settling"
"pli-tv-pvr6","The classes of offenses in the Chapters"
"pli-tv-pvr7","The numerical method"
"pli-tv-pvr8","Aspects of the legal procedures"
"pli-tv-pvr9","The ten reasons for the laying down of training rules"
"pli-tv-pvr10","Verses on the training rules"
"pli-tv-pvr11","Various aspects of the four kinds of legal issues"
"pli-tv-pvr12","Verses on how to accuse properly"
"pli-tv-pvr13","Accusations and the process of investigation"
"pli-tv-pvr14","The short chapter on the resolution of conflicts"
"pli-tv-pvr15","The great chapter on the resolution of conflicts"
"pli-tv-pvr16","The robe-making ceremony"
"pli-tv-pvr17","Ven. Upāli questions the Buddha"
"pli-tv-pvr18","The origination of offenses"
"pli-tv-pvr19","Verses on offenses, training rules, and legal procedures"
"pli-tv-pvr20","The sudorific verses"
"pli-tv-pvr21","Legal procedures, why the Monastic Law, resolution of legal issues"
